id,variant,fleet pts,hyperdrive,formation,num,role,refit,base value,,,,,,,,,,,,,number
nom_scarab_wing,nom_scarab_assault,4,,BOX,4,FIGHTER,10,6000,,,,,,,,,,,,,17
,,,,,,,,,,,,,,,,,,,,,18
,,,,,,,,,,,,,,,,,,,,,19
,,,,,,,,,,,,,,,,,,,,,20
,,,,,,,,,,,,,,,,,,,,,21
,,,,,,,,,,,,,,,,,,,,,22
,,,,,,,,,,,,,,,,,,,,,23
,,,,,,,,,,,,,,,,,,,,,24
,,,,,,,,,,,,,,,,,,,,,25
,,,,,,,,,,,,,,,,,,,,,26
,,,,,,,,,,,,,,,,,,,,,27
,,,,,,,,,,,,,,,,,,,,,28
,,,,,,,,,,,,,,,,,,,,,29
,,,,,,,,,,,,,,,,,,,,,30
,,,,,,,,,,,,,,,,,,,,,31
,,,,,,,,,,,,,,,,,,,,,32
,,,,,,,,,,,,,,,,,,,,,33
,,,,,,,,,,,,,,,,,,,,,34
,,,,,,,,,,,,,,,,,,,,,35
,,,,,,,,,,,,,,,,,,,,,36
,,,,,,,,,,,,,,,,,,,,,37
,,,,,,,,,,,,,,,,,,,,,38
,,,,,,,,,,,,,,,,,,,,,39
,,,,,,,,,,,,,,,,,,,,,40
,,,,,,,,,,,,,,,,,,,,,41
,,,,,,,,,,,,,,,,,,,,,42
,,,,,,,,,,,,,,,,,,,,,43
,,,,,,,,,,,,,,,,,,,,,44
,,,,,,,,,,,,,,,,,,,,,45
,,,,,,,,,,,,,,,,,,,,,46
,,,,,,,,,,,,,,,,,,,,,47
,,,,,,,,,,,,,,,,,,,,,48
,,,,,,,,,,,,,,,,,,,,,49
,,,,,,,,,,,,,,,,,,,,,50
